title,type,question,A,B,C,D,E,F,G,H,answer,image
,radio,"Susut nilai loji, mesin dan jentera",Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,"Penyelenggaraan loji, mesin dan jentera",Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,Insurans kilang,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,Buruh kilang,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,B,
,radio,Inventori bahan langsung pada 1 Januari 2017,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,A,
,radio,Inventori bahan langsung pada 31 Disember 2017,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,A,
,radio,Belian bahan langsung,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,A,
,radio,Duti belian bahan langsung,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,A,
,radio,Angkutan masuk bahan langsung,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,A,
,radio,Pulangan belian bahan langsung,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,A,
,radio,Upah operator kilang,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,B,
,radio,Bahan mentah,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,A,
,radio,Hak cipta,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,C,
,radio,Paten,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,C,
,radio,Royalti,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,C,
,radio,Alat tulis kilang,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,Jualan,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,H,
,radio,Pulangan jualan,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,H,
,radio,Kos pengeluaran,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,G,
,radio,Belian barang siap,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,G,
,radio,Inventori Awal barang siap,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,G,
,radio,Inventori Akhir barang siap,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,G,
,radio,Angkutan keluar,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,E,
,radio,Gaji kerani pejabat,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,E,
,radio,Susut nilai Alatan Pejabat,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,E,
,radio,Angkutan keluar kilang,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,D,
,radio,Komisen jurujual,Kos Bahan Langsung,Kos Buruh Langsung,Kos Belanja Langsung,Kos Overhed,Belanja,Hasil,Kos Jualan,Jualan Bersih,E,
